_id,co_mun,no_mun,ano,variavel,pop_categoria,pop_subcategoria,valor
1,2700102,Água Branca,1970,População residente censitária,Total,Total,22620
2,2700102,Água Branca,1980,População residente censitária,Total,Total,25159
3,2700102,Água Branca,1991,População residente censitária,Total,Total,26560
4,2700102,Água Branca,2000,População residente censitária,Total,Total,18660
5,2700102,Água Branca,2010,População residente censitária,Total,Total,19377
6,2700102,Água Branca,2022,População residente censitária,Total,Total,19008
7,2700201,Anadia,1970,População residente censitária,Total,Total,12586
8,2700201,Anadia,1980,População residente censitária,Total,Total,14833
9,2700201,Anadia,1991,População residente censitária,Total,Total,16337
10,2700201,Anadia,2000,População residente censitária,Total,Total,17849
11,2700201,Anadia,2010,População residente censitária,Total,Total,17424
12,2700201,Anadia,2022,População residente censitária,Total,Total,13811
13,2700300,Arapiraca,1970,População residente censitária,Total,Total,94287
14,2700300,Arapiraca,1980,População residente censitária,Total,Total,136178
15,2700300,Arapiraca,1991,População residente censitária,Total,Total,164921
16,2700300,Arapiraca,2000,População residente censitária,Total,Total,186466
17,2700300,Arapiraca,2010,População residente censitária,Total,Total,214006
18,2700300,Arapiraca,2022,População residente censitária,Total,Total,234696
19,2700409,Atalaia,1970,População residente censitária,Total,Total,40075
20,2700409,Atalaia,1980,População residente censitária,Total,Total,41766
21,2700409,Atalaia,1991,População residente censitária,Total,Total,38563
22,2700409,Atalaia,2000,População residente censitária,Total,Total,40552
23,2700409,Atalaia,2010,População residente censitária,Total,Total,44322
24,2700409,Atalaia,2022,População residente censitária,Total,Total,37512
25,2700508,Barra de Santo Antônio,1970,População residente censitária,Total,Total,6028
26,2700508,Barra de Santo Antônio,1980,População residente censitária,Total,Total,9696
27,2700508,Barra de Santo Antônio,1991,População residente censitária,Total,Total,14334
28,2700508,Barra de Santo Antônio,2000,População residente censitária,Total,Total,11351
29,2700508,Barra de Santo Antônio,2010,População residente censitária,Total,Total,14230
30,2700508,Barra de Santo Antônio,2022,População residente censitária,Total,Total,16365
31,2700607,Barra de São Miguel,1970,População residente censitária,Total,Total,1418
32,2700607,Barra de São Miguel,1980,População residente censitária,Total,Total,2328
33,2700607,Barra de São Miguel,1991,População residente censitária,Total,Total,4950
34,2700607,Barra de São Miguel,2000,População residente censitária,Total,Total,6379
35,2700607,Barra de São Miguel,2010,População residente censitária,Total,Total,7574
36,2700607,Barra de São Miguel,2022,População residente censitária,Total,Total,7944
37,2700706,Batalha,1970,População residente censitária,Total,Total,9015
38,2700706,Batalha,1980,População residente censitária,Total,Total,10384
39,2700706,Batalha,1991,População residente censitária,Total,Total,13033
40,2700706,Batalha,2000,População residente censitária,Total,Total,14799
41,2700706,Batalha,2010,População residente censitária,Total,Total,17076
42,2700706,Batalha,2022,População residente censitária,Total,Total,16448
43,2700805,Belém,1970,População residente censitária,Total,Total,5761
44,2700805,Belém,1980,População residente censitária,Total,Total,6234
45,2700805,Belém,1991,População residente censitária,Total,Total,5919
46,2700805,Belém,2000,População residente censitária,Total,Total,5919
47,2700805,Belém,2010,População residente censitária,Total,Total,4551
48,2700805,Belém,2022,População residente censitária,Total,Total,4722
49,2700904,Belo Monte,1970,População residente censitária,Total,Total,4698
50,2700904,Belo Monte,1980,População residente censitária,Total,Total,5712
51,2700904,Belo Monte,1991,População residente censitária,Total,Total,7067
52,2700904,Belo Monte,2000,População residente censitária,Total,Total,6822
53,2700904,Belo Monte,2010,População residente censitária,Total,Total,7030
54,2700904,Belo Monte,2022,População residente censitária,Total,Total,5936
55,2701001,Boca da Mata,1970,População residente censitária,Total,Total,15362
56,2701001,Boca da Mata,1980,População residente censitária,Total,Total,18164
57,2701001,Boca da Mata,1991,População residente censitária,Total,Total,22188
58,2701001,Boca da Mata,2000,População residente censitária,Total,Total,24227
59,2701001,Boca da Mata,2010,População residente censitária,Total,Total,25776
60,2701001,Boca da Mata,2022,População residente censitária,Total,Total,21187
61,2701100,Branquinha,1970,População residente censitária,Total,Total,9983
62,2701100,Branquinha,1980,População residente censitária,Total,Total,9543
63,2701100,Branquinha,1991,População residente censitária,Total,Total,8305
64,2701100,Branquinha,2000,População residente censitária,Total,Total,11325
65,2701100,Branquinha,2010,População residente censitária,Total,Total,10583
66,2701100,Branquinha,2022,População residente censitária,Total,Total,9603
67,2701209,Cacimbinhas,1970,População residente censitária,Total,Total,9305
68,2701209,Cacimbinhas,1980,População residente censitária,Total,Total,10588
69,2701209,Cacimbinhas,1991,População residente censitária,Total,Total,13721
70,2701209,Cacimbinhas,2000,População residente censitária,Total,Total,9552
71,2701209,Cacimbinhas,2010,População residente censitária,Total,Total,10195
72,2701209,Cacimbinhas,2022,População residente censitária,Total,Total,10476
73,2701308,Cajueiro,1970,População residente censitária,Total,Total,11910
74,2701308,Cajueiro,1980,População residente censitária,Total,Total,13445
75,2701308,Cajueiro,1991,População residente censitária,Total,Total,18597
76,2701308,Cajueiro,2000,População residente censitária,Total,Total,18975
77,2701308,Cajueiro,2010,População residente censitária,Total,Total,20409
