_id,co_mun,no_mun,ano,variavel,saude_categoria,saude_subcategoria,valor
1,2700102,Água Branca,2013,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
2,2700102,Água Branca,2014,Notificações Registradas de Dengue,Incidência de dengue,Taxa,14.562
3,2700102,Água Branca,2015,Notificações Registradas de Dengue,Incidência de dengue,Taxa,166.389
4,2700102,Água Branca,2016,Notificações Registradas de Dengue,Incidência de dengue,Taxa,48.967
5,2700102,Água Branca,2017,Notificações Registradas de Dengue,Incidência de dengue,Taxa,4.886
6,2700102,Água Branca,2018,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
7,2700102,Água Branca,2019,Notificações Registradas de Dengue,Incidência de dengue,Taxa,14.854
8,2700102,Água Branca,2020,Notificações Registradas de Dengue,Incidência de dengue,Taxa,9.886
9,2700102,Água Branca,2021,Notificações Registradas de Dengue,Incidência de dengue,Taxa,4.935
10,2700102,Água Branca,2022,Notificações Registradas de Dengue,Incidência de dengue,Taxa,52.609
11,2700102,Água Branca,2023,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
12,2700102,Água Branca,2024,Notificações Registradas de Dengue,Incidência de dengue,Taxa,299.874
13,2700201,Anadia,2013,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
14,2700201,Anadia,2014,Notificações Registradas de Dengue,Incidência de dengue,Taxa,50.078
15,2700201,Anadia,2015,Notificações Registradas de Dengue,Incidência de dengue,Taxa,336.191
16,2700201,Anadia,2016,Notificações Registradas de Dengue,Incidência de dengue,Taxa,84.118
17,2700201,Anadia,2017,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
18,2700201,Anadia,2018,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
19,2700201,Anadia,2019,Notificações Registradas de Dengue,Incidência de dengue,Taxa,142.491
20,2700201,Anadia,2020,Notificações Registradas de Dengue,Incidência de dengue,Taxa,11.412
21,2700201,Anadia,2021,Notificações Registradas de Dengue,Incidência de dengue,Taxa,28.56
22,2700201,Anadia,2022,Notificações Registradas de Dengue,Incidência de dengue,Taxa,221.968
23,2700201,Anadia,2023,Notificações Registradas de Dengue,Incidência de dengue,Taxa,136.045
24,2700201,Anadia,2024,Notificações Registradas de Dengue,Incidência de dengue,Taxa,286.41
25,2700300,Arapiraca,2013,Notificações Registradas de Dengue,Incidência de dengue,Taxa,3.075
26,2700300,Arapiraca,2014,Notificações Registradas de Dengue,Incidência de dengue,Taxa,1361.799
27,2700300,Arapiraca,2015,Notificações Registradas de Dengue,Incidência de dengue,Taxa,3909.493
28,2700300,Arapiraca,2016,Notificações Registradas de Dengue,Incidência de dengue,Taxa,2788.487
29,2700300,Arapiraca,2017,Notificações Registradas de Dengue,Incidência de dengue,Taxa,763.072
30,2700300,Arapiraca,2018,Notificações Registradas de Dengue,Incidência de dengue,Taxa,614.538
31,2700300,Arapiraca,2019,Notificações Registradas de Dengue,Incidência de dengue,Taxa,3529.711
32,2700300,Arapiraca,2020,Notificações Registradas de Dengue,Incidência de dengue,Taxa,61.361
33,2700300,Arapiraca,2021,Notificações Registradas de Dengue,Incidência de dengue,Taxa,33.289
34,2700300,Arapiraca,2022,Notificações Registradas de Dengue,Incidência de dengue,Taxa,761.411
35,2700300,Arapiraca,2023,Notificações Registradas de Dengue,Incidência de dengue,Taxa,176.398
36,2700300,Arapiraca,2024,Notificações Registradas de Dengue,Incidência de dengue,Taxa,694.942
37,2700409,Atalaia,2013,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
38,2700409,Atalaia,2014,Notificações Registradas de Dengue,Incidência de dengue,Taxa,2.125
39,2700409,Atalaia,2015,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
40,2700409,Atalaia,2016,Notificações Registradas de Dengue,Incidência de dengue,Taxa,37.872
41,2700409,Atalaia,2017,Notificações Registradas de Dengue,Incidência de dengue,Taxa,6.284
42,2700409,Atalaia,2018,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
43,2700409,Atalaia,2019,Notificações Registradas de Dengue,Incidência de dengue,Taxa,31.79
44,2700409,Atalaia,2020,Notificações Registradas de Dengue,Incidência de dengue,Taxa,2.111
45,2700409,Atalaia,2021,Notificações Registradas de Dengue,Incidência de dengue,Taxa,18.931
46,2700409,Atalaia,2022,Notificações Registradas de Dengue,Incidência de dengue,Taxa,1281.407
47,2700409,Atalaia,2023,Notificações Registradas de Dengue,Incidência de dengue,Taxa,25.126
48,2700409,Atalaia,2024,Notificações Registradas de Dengue,Incidência de dengue,Taxa,5376.884
49,2700508,Barra de Santo Antônio,2013,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
50,2700508,Barra de Santo Antônio,2014,Notificações Registradas de Dengue,Incidência de dengue,Taxa,167.041
51,2700508,Barra de Santo Antônio,2015,Notificações Registradas de Dengue,Incidência de dengue,Taxa,63.524
52,2700508,Barra de Santo Antônio,2016,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
53,2700508,Barra de Santo Antônio,2017,Notificações Registradas de Dengue,Incidência de dengue,Taxa,31.125
54,2700508,Barra de Santo Antônio,2018,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
55,2700508,Barra de Santo Antônio,2019,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
56,2700508,Barra de Santo Antônio,2020,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
57,2700508,Barra de Santo Antônio,2021,Notificações Registradas de Dengue,Incidência de dengue,Taxa,12.345
58,2700508,Barra de Santo Antônio,2022,Notificações Registradas de Dengue,Incidência de dengue,Taxa,85.548
59,2700508,Barra de Santo Antônio,2023,Notificações Registradas de Dengue,Incidência de dengue,Taxa,6.111
60,2700508,Barra de Santo Antônio,2024,Notificações Registradas de Dengue,Incidência de dengue,Taxa,6.111
61,2700607,Barra de São Miguel,2013,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
62,2700607,Barra de São Miguel,2014,Notificações Registradas de Dengue,Incidência de dengue,Taxa,36.626
63,2700607,Barra de São Miguel,2015,Notificações Registradas de Dengue,Incidência de dengue,Taxa,48.391
64,2700607,Barra de São Miguel,2016,Notificações Registradas de Dengue,Incidência de dengue,Taxa,515.835
65,2700607,Barra de São Miguel,2017,Notificações Registradas de Dengue,Incidência de dengue,Taxa,23.807
66,2700607,Barra de São Miguel,2018,Notificações Registradas de Dengue,Incidência de dengue,Taxa,12.101
67,2700607,Barra de São Miguel,2019,Notificações Registradas de Dengue,Incidência de dengue,Taxa,324.441
68,2700607,Barra de São Miguel,2020,Notificações Registradas de Dengue,Incidência de dengue,Taxa,11.936
69,2700607,Barra de São Miguel,2021,Notificações Registradas de Dengue,Incidência de dengue,Taxa,142.281
70,2700607,Barra de São Miguel,2022,Notificações Registradas de Dengue,Incidência de dengue,Taxa,1749.748
71,2700607,Barra de São Miguel,2023,Notificações Registradas de Dengue,Incidência de dengue,Taxa,50.352
72,2700607,Barra de São Miguel,2024,Notificações Registradas de Dengue,Incidência de dengue,Taxa,88.117
73,2700706,Batalha,2013,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
74,2700706,Batalha,2014,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
75,2700706,Batalha,2015,Notificações Registradas de Dengue,Incidência de dengue,Taxa,1021.843
76,2700706,Batalha,2016,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
77,2700706,Batalha,2017,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
78,2700706,Batalha,2018,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
79,2700706,Batalha,2019,Notificações Registradas de Dengue,Incidência de dengue,Taxa,257.789
80,2700706,Batalha,2020,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
81,2700706,Batalha,2021,Notificações Registradas de Dengue,Incidência de dengue,Taxa,32.538
82,2700706,Batalha,2022,Notificações Registradas de Dengue,Incidência de dengue,Taxa,127.675
83,2700706,Batalha,2023,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
84,2700706,Batalha,2024,Notificações Registradas de Dengue,Incidência de dengue,Taxa,85.117
85,2700805,Belém,2013,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
86,2700805,Belém,2014,Notificações Registradas de Dengue,Incidência de dengue,Taxa,64.392
87,2700805,Belém,2015,Notificações Registradas de Dengue,Incidência de dengue,Taxa,305.344
88,2700805,Belém,2016,Notificações Registradas de Dengue,Incidência de dengue,Taxa,243.524
89,2700805,Belém,2017,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
90,2700805,Belém,2018,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
91,2700805,Belém,2019,Notificações Registradas de Dengue,Incidência de dengue,Taxa,1381.215
92,2700805,Belém,2020,Notificações Registradas de Dengue,Incidência de dengue,Taxa,163.399
93,2700805,Belém,2021,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
94,2700805,Belém,2022,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
95,2700805,Belém,2023,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
96,2700805,Belém,2024,Notificações Registradas de Dengue,Incidência de dengue,Taxa,254.13
97,2700904,Belo Monte,2013,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
98,2700904,Belo Monte,2014,Notificações Registradas de Dengue,Incidência de dengue,Taxa,162.65
99,2700904,Belo Monte,2015,Notificações Registradas de Dengue,Incidência de dengue,Taxa,383.764
100,2700904,Belo Monte,2016,Notificações Registradas de Dengue,Incidência de dengue,Taxa,14.736
101,2700904,Belo Monte,2017,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
102,2700904,Belo Monte,2018,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
103,2700904,Belo Monte,2019,Notificações Registradas de Dengue,Incidência de dengue,Taxa,208.831
104,2700904,Belo Monte,2020,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
105,2700904,Belo Monte,2021,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
106,2700904,Belo Monte,2022,Notificações Registradas de Dengue,Incidência de dengue,Taxa,16.846
107,2700904,Belo Monte,2023,Notificações Registradas de Dengue,Incidência de dengue,Taxa,33.693
108,2700904,Belo Monte,2024,Notificações Registradas de Dengue,Incidência de dengue,Taxa,16.846
109,2701001,Boca da Mata,2013,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
110,2701001,Boca da Mata,2014,Notificações Registradas de Dengue,Incidência de dengue,Taxa,77.248
111,2701001,Boca da Mata,2015,Notificações Registradas de Dengue,Incidência de dengue,Taxa,178.839
112,2701001,Boca da Mata,2016,Notificações Registradas de Dengue,Incidência de dengue,Taxa,174.558
113,2701001,Boca da Mata,2017,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
114,2701001,Boca da Mata,2018,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
115,2701001,Boca da Mata,2019,Notificações Registradas de Dengue,Incidência de dengue,Taxa,84.308
116,2701001,Boca da Mata,2020,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
117,2701001,Boca da Mata,2021,Notificações Registradas de Dengue,Incidência de dengue,Taxa,3.646
118,2701001,Boca da Mata,2022,Notificações Registradas de Dengue,Incidência de dengue,Taxa,127.437
119,2701001,Boca da Mata,2023,Notificações Registradas de Dengue,Incidência de dengue,Taxa,273.753
120,2701001,Boca da Mata,2024,Notificações Registradas de Dengue,Incidência de dengue,Taxa,33.039
121,2701100,Branquinha,2013,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
122,2701100,Branquinha,2014,Notificações Registradas de Dengue,Incidência de dengue,Taxa,584.253
123,2701100,Branquinha,2015,Notificações Registradas de Dengue,Incidência de dengue,Taxa,120.987
124,2701100,Branquinha,2016,Notificações Registradas de Dengue,Incidência de dengue,Taxa,28.014
125,2701100,Branquinha,2017,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
126,2701100,Branquinha,2018,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
127,2701100,Branquinha,2019,Notificações Registradas de Dengue,Incidência de dengue,Taxa,9.529
128,2701100,Branquinha,2020,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
129,2701100,Branquinha,2021,Notificações Registradas de Dengue,Incidência de dengue,Taxa,383.656
130,2701100,Branquinha,2022,Notificações Registradas de Dengue,Incidência de dengue,Taxa,1707.8
131,2701100,Branquinha,2023,Notificações Registradas de Dengue,Incidência de dengue,Taxa,249.922
132,2701100,Branquinha,2024,Notificações Registradas de Dengue,Incidência de dengue,Taxa,208.268
133,2701209,Cacimbinhas,2013,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
134,2701209,Cacimbinhas,2014,Notificações Registradas de Dengue,Incidência de dengue,Taxa,74.246
135,2701209,Cacimbinhas,2015,Notificações Registradas de Dengue,Incidência de dengue,Taxa,1192.457
136,2701209,Cacimbinhas,2016,Notificações Registradas de Dengue,Incidência de dengue,Taxa,64.463
137,2701209,Cacimbinhas,2017,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
138,2701209,Cacimbinhas,2018,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
139,2701209,Cacimbinhas,2019,Notificações Registradas de Dengue,Incidência de dengue,Taxa,303.923
140,2701209,Cacimbinhas,2020,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
141,2701209,Cacimbinhas,2021,Notificações Registradas de Dengue,Incidência de dengue,Taxa,91.575
142,2701209,Cacimbinhas,2022,Notificações Registradas de Dengue,Incidência de dengue,Taxa,181.263
143,2701209,Cacimbinhas,2023,Notificações Registradas de Dengue,Incidência de dengue,Taxa,19.08
144,2701209,Cacimbinhas,2024,Notificações Registradas de Dengue,Incidência de dengue,Taxa,28.62
145,2701308,Cajueiro,2013,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
146,2701308,Cajueiro,2014,Notificações Registradas de Dengue,Incidência de dengue,Taxa,221.062
147,2701308,Cajueiro,2015,Notificações Registradas de Dengue,Incidência de dengue,Taxa,23.414
148,2701308,Cajueiro,2016,Notificações Registradas de Dengue,Incidência de dengue,Taxa,23.318
149,2701308,Cajueiro,2017,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
150,2701308,Cajueiro,2018,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
151,2701308,Cajueiro,2019,Notificações Registradas de Dengue,Incidência de dengue,Taxa,75.245
152,2701308,Cajueiro,2020,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
153,2701308,Cajueiro,2021,Notificações Registradas de Dengue,Incidência de dengue,Taxa,219.657
154,2701308,Cajueiro,2022,Notificações Registradas de Dengue,Incidência de dengue,Taxa,262.107
155,2701308,Cajueiro,2023,Notificações Registradas de Dengue,Incidência de dengue,Taxa,12.481
156,2701308,Cajueiro,2024,Notificações Registradas de Dengue,Incidência de dengue,Taxa,24.963
157,2701357,Campestre,2013,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
158,2701357,Campestre,2014,Notificações Registradas de Dengue,Incidência de dengue,Taxa,43.153
159,2701357,Campestre,2015,Notificações Registradas de Dengue,Incidência de dengue,Taxa,186.3
160,2701357,Campestre,2016,Notificações Registradas de Dengue,Incidência de dengue,Taxa,114.253
161,2701357,Campestre,2017,Notificações Registradas de Dengue,Incidência de dengue,Taxa,14.237
162,2701357,Campestre,2018,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
163,2701357,Campestre,2019,Notificações Registradas de Dengue,Incidência de dengue,Taxa,72.088
164,2701357,Campestre,2020,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
165,2701357,Campestre,2021,Notificações Registradas de Dengue,Incidência de dengue,Taxa,14.343
166,2701357,Campestre,2022,Notificações Registradas de Dengue,Incidência de dengue,Taxa,4.832
167,2701357,Campestre,2023,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
168,2701357,Campestre,2024,Notificações Registradas de Dengue,Incidência de dengue,Taxa,4.832
169,2701407,Campo Alegre,2013,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
170,2701407,Campo Alegre,2014,Notificações Registradas de Dengue,Incidência de dengue,Taxa,10.75
171,2701407,Campo Alegre,2015,Notificações Registradas de Dengue,Incidência de dengue,Taxa,81.517
172,2701407,Campo Alegre,2016,Notificações Registradas de Dengue,Incidência de dengue,Taxa,99.986
173,2701407,Campo Alegre,2017,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
174,2701407,Campo Alegre,2018,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
175,2701407,Campo Alegre,2019,Notificações Registradas de Dengue,Incidência de dengue,Taxa,254.105
176,2701407,Campo Alegre,2020,Notificações Registradas de Dengue,Incidência de dengue,Taxa,10.428
177,2701407,Campo Alegre,2021,Notificações Registradas de Dengue,Incidência de dengue,Taxa,5.173
178,2701407,Campo Alegre,2022,Notificações Registradas de Dengue,Incidência de dengue,Taxa,2615.791
179,2701407,Campo Alegre,2023,Notificações Registradas de Dengue,Incidência de dengue,Taxa,1031.917
180,2701407,Campo Alegre,2024,Notificações Registradas de Dengue,Incidência de dengue,Taxa,119.99
181,2701506,Campo Grande,2013,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
182,2701506,Campo Grande,2014,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
183,2701506,Campo Grande,2015,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
184,2701506,Campo Grande,2016,Notificações Registradas de Dengue,Incidência de dengue,Taxa,82.662
185,2701506,Campo Grande,2017,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
186,2701506,Campo Grande,2018,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
187,2701506,Campo Grande,2019,Notificações Registradas de Dengue,Incidência de dengue,Taxa,282.486
188,2701506,Campo Grande,2020,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
189,2701506,Campo Grande,2021,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
190,2701506,Campo Grande,2022,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
191,2701506,Campo Grande,2023,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
192,2701506,Campo Grande,2024,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.334
193,2701605,Canapi,2013,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
194,2701605,Canapi,2014,Notificações Registradas de Dengue,Incidência de dengue,Taxa,116.842
195,2701605,Canapi,2015,Notificações Registradas de Dengue,Incidência de dengue,Taxa,2225.189
196,2701605,Canapi,2016,Notificações Registradas de Dengue,Incidência de dengue,Taxa,5.562
197,2701605,Canapi,2017,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
198,2701605,Canapi,2018,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
199,2701605,Canapi,2019,Notificações Registradas de Dengue,Incidência de dengue,Taxa,62.07
200,2701605,Canapi,2020,Notificações Registradas de Dengue,Incidência de dengue,Taxa,141.091
201,2701605,Canapi,2021,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
202,2701605,Canapi,2022,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
203,2701605,Canapi,2023,Notificações Registradas de Dengue,Incidência de dengue,Taxa,19.281
204,2701605,Canapi,2024,Notificações Registradas de Dengue,Incidência de dengue,Taxa,44.99
205,2701704,Capela,2013,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
206,2701704,Capela,2014,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
207,2701704,Capela,2015,Notificações Registradas de Dengue,Incidência de dengue,Taxa,5.712
208,2701704,Capela,2016,Notificações Registradas de Dengue,Incidência de dengue,Taxa,5.738
209,2701704,Capela,2017,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.0
210,2701704,Capela,2018,Notificações Registradas de Dengue,Incidência de dengue,Taxa,5.84
211,2701704,Capela,2019,Notificações Registradas de Dengue,Incidência de dengue,Taxa,381.165
212,2701704,Capela,2020,Notificações Registradas de Dengue,Incidência de dengue,Taxa,11.779
213,2701704,Capela,2021,Notificações Registradas de Dengue,Incidência de dengue,Taxa,35.488
214,2701704,Capela,2022,Notificações Registradas de Dengue,Incidência de dengue,Taxa,347.606
